Columna1,Columna2,Columna3,Columna4,Columna5,Columna6,Columna7
Nov 05 2021,469926,471850,468132,469753.00,469753,3491150000
Nov 08 2021,470148,471492,469439,47017.00,470170,3465720000
Nov 09 2021,470725,470853,467087,468525.00,468525,3110230000
Nov 10 2021,467026,468485,463086,464671.00,464671,3581630000
Nov 11 2021,465939,466455,464831,464927.00,464927,2623140000
Nov 12 2021,465524,468847,465077,468285.00,468285,2865790000
Nov 15 2021,468930,469742,467286,46828.00,468280,2618980000
Nov 16 2021,467942,471495,467942,47009.00,470090,2838210000
Nov 17 2021,470150,470150,468441,468867.00,468867,3221250000
Nov 18 2021,470072,470880,467278,470454.00,470454,3335620000
Nov 19 2021,470844,471775,469422,469796.00,469796,3265600000
Nov 22 2021,471200,474383,468217,468294.00,468294,3206280000
Nov 23 2021,467848,469939,465266,46907.00,469070,3428780000
Nov 24 2021,467578,470287,465989,470146.00,470146,2464040000
Nov 26 2021,466463,466463,458543,459462.00,459462,2676740000
Nov 29 2021,462875,467295,462526,465527.00,465527,3471380000
Nov 30 2021,464025,464602,456000,4567.00,456700,4950190000
Dec 01 2021,460282,465294,451027,451304.00,451304,4078260000
Dec 02 2021,450473,459546,450473,45771.00,457710,3771510000
Dec 03 2021,458949,460803,449512,453843.00,453843,3971500000
Dec 06 2021,454837,461260,454051,459167.00,459167,3305690000
Dec 07 2021,463197,469404,463197,468675.00,468675,3334320000
Dec 08 2021,469086,470506,467452,470121.00,470121,3061550000
Dec 09 2021,469100,469526,466598,466745.00,466745,2851660000
Dec 10 2021,468764,471357,467024,471202.00,471202,2858310000
Dec 13 2021,471030,471030,466760,466897.00,466897,3322050000
Dec 14 2021,464299,466047,460652,463409.00,463409,3292740000
Dec 15 2021,463646,471260,461122,470985.00,470985,3367580000
Dec 16 2021,471913,473199,465189,466867.00,466867,3592810000
Dec 17 2021,465250,466670,460022,462064.00,462064,5609780000
Dec 20 2021,458790,458790,453110,456802.00,456802,3395780000
Dec 21 2021,459496,465114,458316,464923.00,464923,2564370000
Dec 22 2021,465036,469767,464553,469656.00,469656,2439570000
Dec 23 2021,470396,474074,470396,472579.00,472579,2194630000
Dec 27 2021,473399,479149,473399,479119.00,479119,2264120000
Dec 28 2021,479549,480702,478004,478635.00,478635,2217050000
Dec 29 2021,478864,480406,477808,479306.00,479306,2369370000
Dec 30 2021,479423,480893,477533,477873.00,477873,2390990000
Dec 31 2021,477521,478683,476575,476618.00,476618,2446190000
Jan 03 2022,477814,479664,475817,479656.00,479656,2775190000
